LOCALITY_ID,LOCALITY_NAME,LOCALITY_TYPE,POSTCODE,STATE,SA2_CODE_2021,SA2_NAME_2021
loc8d74d3bb472f,WYCHITELLA,ALIAS LOCALITY,3463,VIC,202031033,Loddon
loc8db5d9e879c9,BLAMPIED,GAZETTED LOCALITY,3364,VIC,201021011,Daylesford
loc8dceecda058f,NORTH BLACKWOOD,GAZETTED LOCALITY,3458,VIC,201021011,Daylesford
loc8dceecda058f,BLACKWOOD NORTH,ALIAS LOCALITY,3458,VIC,201021011,Daylesford
loc8dceecda058f,N BLACKWOOD,ALIAS LOCALITY,3458,VIC,201021011,Daylesford
loc8dcf0a7eeed7,MININERA,GAZETTED LOCALITY,3351,VIC,215011387,Ararat Surrounds
loc8dd564c07654,SEDGWICK,GAZETTED LOCALITY,3551,VIC,202021026,Bendigo Surrounds - South
loc8ddcedf1a133,GREENDALE,GAZETTED LOCALITY,3341,VIC,201021009,Bacchus Marsh Surrounds
loc8de99db1f17f,JEERALANG JUNCTION,GAZETTED LOCALITY,3840,VIC,205041094,Churchill
loc8debc349081b,REDBANK,GAZETTED LOCALITY,3477,VIC,201031013,Avoca
loc8e02f05b333c,HARMERS HAVEN,GAZETTED LOCALITY,3995,VIC,205031093,Wonthaggi - Inverloch
loc8e2916c92321,CUDGEWA,GAZETTED LOCALITY,3705,VIC,204031072,Towong
loc8e2916c92321,CUDGEWA NORTH,ALIAS LOCALITY,3705,VIC,204031072,Towong
loc8e2916c92321,WABBA,ALIAS LOCALITY,3705,VIC,204031072,Towong
loc8e2a94b1ebfe,HOTSPUR,GAZETTED LOCALITY,3303,VIC,217011420,Glenelg (Vic.)
loc8e2fcc3d7f1c,TALLANGATTA VALLEY,GAZETTED LOCALITY,3701,VIC,204031072,Towong
loc8e2fcc3d7f1c,CRAVENSVILLE,ALIAS LOCALITY,3701,VIC,204031072,Towong
loc8e2fcc3d7f1c,TALLANGATTA,ALIAS LOCALITY,3701,VIC,204031072,Towong
loc8e2fcc3d7f1c,WYEEBO,ALIAS LOCALITY,3701,VIC,204031072,Towong
loc8e5a2b16aaaa,TRARALGON,GAZETTED LOCALITY,3844,VIC,205041494,Traralgon - West
loc8e5a2b16aaaa,TRARALGON WEST,ALIAS LOCALITY,3844,VIC,205041494,Traralgon - West
loc8e7c71a2a320,KAMAROOKA,GAZETTED LOCALITY,3570,VIC,202031032,Bendigo Surrounds - North
loc8e7c71a2a320,BAGSHOT,ALIAS LOCALITY,3570,VIC,202031032,Bendigo Surrounds - North
loc8e7c71a2a320,KAMAROOKA NORTH,ALIAS LOCALITY,3570,VIC,202031032,Bendigo Surrounds - North
loc8e7c71a2a320,NORTH KAMAROOKA,ALIAS LOCALITY,3570,VIC,202031032,Bendigo Surrounds - North
loc8eb258f7fd5e,AMPHITHEATRE,GAZETTED LOCALITY,3468,VIC,201031013,Avoca
loc8eb80c3d4e89,POOTILLA,GAZETTED LOCALITY,3352,VIC,201021012,Gordon (Vic.)
loc8f0bb15413da,MOOLERR,GAZETTED LOCALITY,3477,VIC,215011391,St Arnaud
loc8f1124adee14,GUNDOWRING,GAZETTED LOCALITY,3691,VIC,204031075,Yackandandah
loc8f1124adee14,GUNDOWRING NORTH,ALIAS LOCALITY,3691,VIC,204031075,Yackandandah
loc8f498b475ec6,TRARALGON EAST,GAZETTED LOCALITY,3844,VIC,205041493,Traralgon - East
loc8f498b475ec6,EAST TRARALGON,ALIAS LOCALITY,3844,VIC,205041493,Traralgon - East
loc8f4a31e69dd1,BARONGAROOK WEST,GAZETTED LOCALITY,3249,VIC,217031473,Colac Surrounds
loc8f4a31e69dd1,WEST BARONGAROOK,ALIAS LOCALITY,3249,VIC,217031473,Colac Surrounds
loc8f5284a27c70,AYRFORD,GAZETTED LOCALITY,3268,VIC,217031475,Corangamite - South
loc8f565e81c655,THOMASTOWN,GAZETTED LOCALITY,3074,VIC,209041223,Thomastown
loc8f565e81c655,KEON PARK,ALIAS LOCALITY,3074,VIC,209041223,Thomastown
loc8f8289189932,SWANWATER WEST,GAZETTED LOCALITY,3480,VIC,215011391,St Arnaud
loc8f8289189932,SWAN WATER WEST,ALIAS LOCALITY,3480,VIC,215011391,St Arnaud
loc8f8289189932,WEST SWAN WATER,ALIAS LOCALITY,3480,VIC,215011391,St Arnaud
loc8f8289189932,WEST SWANWATER,ALIAS LOCALITY,3480,VIC,215011391,St Arnaud
loc8fa101888b1c,GHERANG,GAZETTED LOCALITY,3240,VIC,203011036,Winchelsea
loc8fc20a19bc7c,BENAYEO,GAZETTED LOCALITY,3319,VIC,215011393,West Wimmera
loc8fe34cac4e95,MIRBOO,GAZETTED LOCALITY,3871,VIC,205031090,Leongatha
loc8fe34cac4e95,BOOLARRA,ALIAS LOCALITY,3871,VIC,205031090,Leongatha
loc8fe34cac4e95,EAST MIRBOO,ALIAS LOCALITY,3871,VIC,205031090,Leongatha
loc8fe34cac4e95,EAST TARWIN,ALIAS LOCALITY,3871,VIC,205031090,Leongatha
loc8fe34cac4e95,GRAND RIDGE,ALIAS LOCALITY,3871,VIC,205031090,Leongatha
loc8fe34cac4e95,LIMONITE,ALIAS LOCALITY,3871,VIC,205031090,Leongatha
loc8fe34cac4e95,MILFORD,ALIAS LOCALITY,3871,VIC,205031090,Leongatha
loc8fe34cac4e95,MIRBOO EAST,ALIAS LOCALITY,3871,VIC,205031090,Leongatha
loc8fe34cac4e95,MIRBOO SOUTH,ALIAS LOCALITY,3871,VIC,205031090,Leongatha
loc8fe34cac4e95,TARWIN EAST,ALIAS LOCALITY,3871,VIC,205031090,Leongatha
loc8fef59c1c585,TULLAMARINE,GAZETTED LOCALITY,3043,VIC,210051250,Tullamarine
loc9044450a02a4,NEWLYN NORTH,GAZETTED LOCALITY,3364,VIC,201021011,Daylesford
loc9044450a02a4,NORTH NEWLYN,ALIAS LOCALITY,3364,VIC,201021011,Daylesford
loc90624e351f7d,FARADAY,GAZETTED LOCALITY,3451,VIC,202021028,Castlemaine Surrounds
loc9083cdebc5de,BARUNAH PARK,GAZETTED LOCALITY,3329,VIC,203011035,Golden Plains - South
loc90b2f4dd8c2d,MOUNT DUNEED,GAZETTED LOCALITY,3217,VIC,203021487,Grovedale - Mount Duneed
loc90b2f4dd8c2d,MT DUNEED,ALIAS LOCALITY,3217,VIC,203021487,Grovedale - Mount Duneed
loc90b3cd765444,NOTTING HILL,GAZETTED LOCALITY,3168,VIC,212051567,Clayton (North) - Notting Hill
loc90c60f5d2011,TANGAMBALANGA,GAZETTED LOCALITY,3691,VIC,204031075,Yackandandah
loc90c95b57d1c7,STIRLING,GAZETTED LOCALITY,3893,VIC,205021082,Bruthen - Omeo
loc90cfc568ec13,BORALMA,GAZETTED LOCALITY,3682,VIC,204021067,Wangaratta Surrounds
loc90db0ae417fb,MEAD,GAZETTED LOCALITY,3568,VIC,215031401,Gannawarra
loc90db46597d77,TURRIFF EAST,GAZETTED LOCALITY,3488,VIC,215031400,Buloke
loc90db46597d77,EAST TURRIFF,ALIAS LOCALITY,3488,VIC,215031400,Buloke
loc90eb8cc4f52f,UPOTIPOTPON,GAZETTED LOCALITY,3669,VIC,204011055,Euroa
loc90ffd6e9687e,DERRINALLUM,GAZETTED LOCALITY,3325,VIC,217031474,Corangamite - North
loc910740c34dce,MURRINDAL,GAZETTED LOCALITY,3885,VIC,205021085,Orbost
loc910a14938d48,GEELONG WEST,GAZETTED LOCALITY,3218,VIC,203021040,Geelong West - Hamlyn Heights
loc910a14938d48,WEST GEELONG,ALIAS LOCALITY,3218,VIC,203021040,Geelong West - Hamlyn Heights
loc911e5c3c0eb8,FYANS CREEK,GAZETTED LOCALITY,3381,VIC,215011392,Stawell
loc9121430b290a,FRAMLINGHAM EAST,GAZETTED LOCALITY,3265,VIC,217041477,Moyne - East
loc9121430b290a,EAST FRAMLINGHAM,ALIAS LOCALITY,3265,VIC,217041477,Moyne - East
loc913bf4728c4e,CAMBERWELL,GAZETTED LOCALITY,3124,VIC,207011149,Camberwell
loc913bf4728c4e,CAMBERWELL NORTH,ALIAS LOCALITY,3124,VIC,207011149,Camberwell
loc913bf4728c4e,CAMBERWELL SOUTH,ALIAS LOCALITY,3124,VIC,207011149,Camberwell
loc913bf4728c4e,EAST CAMBERWELL,ALIAS LOCALITY,3124,VIC,207011149,Camberwell
loc913bf4728c4e,MIDDLE CAMBERWELL,ALIAS LOCALITY,3124,VIC,207011149,Camberwell
loc913bf4728c4e,NORTH CAMBERWELL,ALIAS LOCALITY,3124,VIC,207011149,Camberwell
loc913bf4728c4e,SOUTH CAMBERWELL,ALIAS LOCALITY,3124,VIC,207011149,Camberwell
loc913bf4728c4e,SOUTH SURREY HILLS,ALIAS LOCALITY,3124,VIC,207011149,Camberwell
loc913bf4728c4e,SURREY HILLS SOUTH,ALIAS LOCALITY,3124,VIC,207011149,Camberwell
loc9148db2e2df5,MOORILIM,GAZETTED LOCALITY,3610,VIC,216031419,Shepparton Surrounds - West
loc9154637132c3,LAKE EPPALOCK,GAZETTED LOCALITY,3551,VIC,202021029,Heathcote
loc9165cd64854f,BAYSWATER NORTH,GAZETTED LOCALITY,3153,VIC,211031263,Bayswater North
loc9165cd64854f,NORTH BAYSWATER,ALIAS LOCALITY,3153,VIC,211031263,Bayswater North
loc918f6d0fec8d,BAW BAW,GAZETTED LOCALITY,3833,VIC,205011077,Mount Baw Baw Region
loc91986fb3c2b4,WANGANDARY,GAZETTED LOCALITY,3678,VIC,204021067,Wangaratta Surrounds
loc91a697b81051,CADELLO,GAZETTED LOCALITY,3442,VIC,202021030,Kyneton
loc91aa8d533988,GILLUM,GAZETTED LOCALITY,3858,VIC,205051101,Maffra
loc91ab470f6b62,SEA LAKE,GAZETTED LOCALITY,3533,VIC,215031400,Buloke
loc91ab470f6b62,CULGOA,ALIAS LOCALITY,3533,VIC,215031400,Buloke
loc91ab470f6b62,LONG PLAINS,ALIAS LOCALITY,3533,VIC,215031400,Buloke
loc91b19da71b61,WOORARRA WEST,GAZETTED LOCALITY,3960,VIC,205031087,Foster
loc91b19da71b61,WEST WOORARRA,ALIAS LOCALITY,3960,VIC,205031087,Foster
loc91ba08d312cb,NEWCOMB,GAZETTED LOCALITY,3219,VIC,203021045,Newcomb - Moolap
loc91cd8110d36c,SAFETY BEACH,GAZETTED LOCALITY,3936,VIC,214021377,Dromana
loc91ee39d5afd8,NORTH GEELONG,GAZETTED LOCALITY,3215,VIC,203021047,North Geelong - Bell Park
loc91ee39d5afd8,GEELONG NORTH,ALIAS LOCALITY,3215,VIC,203021047,North Geelong - Bell Park
loc91ee39d5afd8,N GEELONG,ALIAS LOCALITY,3215,VIC,203021047,North Geelong - Bell Park
loc92006d7c0d05,CASTERTON,GAZETTED LOCALITY,3311,VIC,217011420,Glenelg (Vic.)
loc92057462741c,CHEPSTOWE,GAZETTED LOCALITY,3351,VIC,201031014,Beaufort
